Stock No.,Product Name,SKU,Category,Quantity in Stock,Reorder Level,Reorder Quantity,Unit Cost,Total Cost,Selling Price,Total Revenue,Gross Margin,Supplier Name,Supplier Email,Supplier Phone,Warehouse Location,Batch Number,Stock Status,Barcode
1,Mason Jar,4VMCMLG6,Jar,259,2,200,40,10360,49,12691,2331,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-4440,Active,934414537444
2,Glass Storage Jar with Lid,ABD3DWXB,Jar,153,3,140,30,4590,39,5967,1377,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-7015,Inactive,308766018592
3,Airtight Spice Jar,6XOCT75L,Jar,414,1,150,40,16560,49,20286,3726,Epsilon Global Trade,epsilon.global@gmail.com,016-59812778,Subang,BATCH-3571,Inactive,944277949338
4,Plastic Food Jar,832EATIR,Jar,285,2,150,10,2850,19,5415,2565,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-2484,Discontinued,971714044060
5,Pickling Jar,WFP6IM7Z,Jar,138,3,110,40,5520,49,6762,1242,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-2159,Inactive,605957969055
6,Ceramic Coffee Cup,SGVFAJUQ,Cup,349,1,200,40,13960,49,17101,3141,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-6229,Discontinued,835076983391
7,Plastic Juice Cup,S2GE96VC,Cup,387,1,190,20,7740,29,11223,3483,Delta Products LLC,delta.products@gmail.com,017-69697221,Puchong,BATCH-4281,Active,174837674798
8,Stainless Steel Travel Cup,PD9BKQT6,Cup,81,4,130,30,2430,39,3159,729,Gamma Wholesalers Inc.,gamma.wholesalers@gmail.com,016-1468899,Serdang,BATCH-5443,Active,948156865510
9,Double-Walled Tea Cup,7QH5O8JS,Cup,84,4,200,10,840,19,1596,756,Delta Products LLC,delta.products@gmail.com,017-69697221,Puchong,BATCH-9875,Inactive,793635673320
10,Disposable Paper Cup,1180FOT0,Cup,297,2,180,30,8910,39,11583,2673,Gamma Wholesalers Inc.,gamma.wholesalers@gmail.com,016-1468899,Serdang,BATCH-7861,Active,113514059226
11,Ceramic Mug,F3J5APSG,Mug,288,2,200,50,14400,59,16992,2592,Epsilon Global Trade,epsilon.global@gmail.com,016-59812778,Subang,BATCH-8803,Active,816355352236
12,Insulated Travel Mug,88NWTV1Y,Mug,113,3,130,10,1130,19,2147,1017,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-5658,Inactive,506342465316
13,Enamel Camping Mug,NT99UV9K,Mug,475,1,100,30,14250,39,18525,4275,Alpha Supplies Co.,alpha.supplies@gmail.com,012-38277289,Klang,BATCH-8880,Discontinued,485188129052
14,Glass Mug with Handle,CNYLRDAN,Mug,153,3,110,50,7650,59,9027,1377,Gamma Wholesalers Inc.,gamma.wholesalers@gmail.com,016-1468899,Serdang,BATCH-8277,Active,957019007589
15,Personalized Photo Mug,TXW4ONE3,Mug,202,2,130,30,6060,39,7878,1818,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-6241,Active,428365622487
16,Glass Water Pitcher,18K9PPVQ,Pitcher,496,1,140,10,4960,19,9424,4464,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-7340,Discontinued,846690359289
17,Plastic Juice Pitcher with Lid,9QVBEITV,Pitcher,260,2,140,10,2600,19,4940,2340,Delta Products LLC,delta.products@gmail.com,017-69697221,Puchong,BATCH-7706,Inactive,023002394065
18,Insulated Pitcher,3GYOKUN4,Pitcher,400,1,200,10,4000,19,7600,3600,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-2932,Discontinued,752693432252
19,Stainless Steel Milk Pitcher,4SKWNIH8,Pitcher,437,1,170,40,17480,49,21413,3933,Delta Products LLC,delta.products@gmail.com,017-69697221,Puchong,BATCH-4153,Discontinued,959464432547
20,Ceramic Serving Pitcher,0FJWIBV0,Pitcher,483,1,170,40,19320,49,23667,4347,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-9131,Inactive,176945621645
21,Glass Wine Carafe,6757GHXA,Carafe,182,3,110,20,3640,29,5278,1638,Beta Distributors Ltd.,beta.distributors@gmail.com,016-9605513,Rawang,BATCH-5583,Inactive,986097248069
22,Thermal Coffee Carafe,YP2K5O7A,Carafe,272,2,170,30,8160,39,10608,2448,Theta Partners Sdn Bhd,theta.partners@gmail.com,016-97884054,Banting,BATCH-4310,Active,569867032157
23,Plastic Water Carafe,7ZGP0IVB,Carafe,391,1,110,50,19550,59,23069,3519,Delta Products LLC,delta.products@gmail.com,017-69697221,Puchong,BATCH-3578,Inactive,756919827604
24,Ceramic Tea Carafe,RLDT5SQA,Carafe,98,4,200,30,2940,39,3822,882,Gamma Wholesalers Inc.,gamma.wholesalers@gmail.com,016-1468899,Serdang,BATCH-3803,Inactive,447244242177
